op_type	dt	op	n_bufs	count	time_us	gb_s
reducedt_strided	float32	sum	8	262144	153.68	61.41
reducedt_strided	float32	sum	8	524288	312.1	60.48
reducedt_strided	float32	sum	8	1048576	627.78	60.13
reducedt_strided	float32	sum	8	2097152	1264.53	59.70
reducedt_strided	float32	sum	8	4194304	1941.21	77.78
reducedt_strided	float32	sum	8	8388608	2656.82	113.67
reducedt_strided	float32	sum	8	16777216	5377.77	112.31
reducedt_strided	float32	sum	8	33554432	11755.85	102.75
reducedt_strided	float32	sum	8	67108864	27083.38	89.20
reducedt_strided	float32	prod	2	1024	0.21	58.79
reducedt_strided	float32	prod	2	2048	0.38	64.34
reducedt_strided	float32	prod	2	4096	1.11	44.28
reducedt_strided	float32	prod	2	8192	2.12	46.28
reducedt_strided	float32	prod	2	16384	4.74	41.45
reducedt_strided	float32	prod	2	32768	8.46	46.47
reducedt_strided	float32	prod	2	65536	10.52	74.79
reducedt_strided	float32	prod	2	131072	32.98	47.69
reducedt_strided	float32	prod	2	262144	58.11	54.13
reducedt_strided	float32	prod	2	524288	138.63	45.38
reducedt_strided	float32	prod	2	1048576	323.06	38.95
reducedt_strided	float32	prod	2	2097152	525.44	47.89
reducedt_strided	float32	prod	2	4194304	819.85	61.39
reducedt_strided	float32	prod	2	8388608	1163.95	86.48
reducedt_strided	float32	prod	2	16777216	2623.95	76.73
reducedt_strided	float32	prod	2	33554432	10178.38	39.56
reducedt_strided	float32	prod	2	67108864	26215.22	30.72
reducedt_strided	float32	prod	8	1024	0.54	68.65
reducedt_strided	float32	prod	8	2048	1.62	45.51
reducedt_strided	float32	prod	8	4096	3.8	38.82
reducedt_strided	float32	prod	8	8192	6.3	46.78
reducedt_strided	float32	prod	8	16384	9.11	64.76
reducedt_strided	float32	prod	8	32768	18.8	62.73
reducedt_strided	float32	prod	8	65536	36.77	64.17
reducedt_strided	float32	prod	8	131072	72.72	64.89
reducedt_strided	float32	prod	8	262144	149.32	63.20
reducedt_strided	float32	prod	8	524288	311.46	60.60
reducedt_strided	float32	prod	8	1048576	626.6	60.24
reducedt_strided	float32	prod	8	2097152	1268.64	59.51
reducedt_strided	float32	prod	8	4194304	1593.48	94.76
reducedt_strided	float32	prod	8	8388608	2568.27	117.58
reducedt_strided	float32	prod	8	16777216	5207.69	115.98
reducedt_strided	float32	prod	8	33554432	11726.49	103.01
reducedt_strided	float32	prod	8	67108864	27477.01	87.93
reducedt_strided	float32	min	2	1024	0.21	57.96
reducedt_strided	float32	min	2	2048	0.38	65.36
reducedt_strided	float32	min	2	4096	1.23	39.90
reducedt_strided	float32	min	2	8192	2.16	45.49
reducedt_strided	float32	min	2	16384	4.29	45.87
reducedt_strided	float32	min	2	32768	7.2	54.61
reducedt_strided	float32	min	2	65536	10.05	78.21
reducedt_strided	float32	min	2	131072	19.91	79.02
reducedt_strided	float32	min	2	262144	40.0	78.64
reducedt_strided	float32	min	2	524288	99.47	63.25
reducedt_strided	float32	min	2	1048576	259.89	48.42
reducedt_strided	float32	min	2	2097152	367.1	68.55
reducedt_strided	float32	min	2	4194304	575.42	87.47
reducedt_strided	float32	min	2	8388608	1130.76	89.02
reducedt_strided	float32	min	2	16777216	2531.7	79.52
reducedt_strided	float32	min	2	33554432	10150.8	39.67
reducedt_strided	float32	min	2	67108864	26017.13	30.95
reducedt_strided	float32	min	8	1024	0.51	72.00
reducedt_strided	float32	min	8	2048	1.6	46.17
reducedt_strided	float32	min	8	4096	3.55	41.57
reducedt_strided	float32	min	8	8192	6.62	44.53
reducedt_strided	float32	min	8	16384	9.26	63.69
reducedt_strided	float32	min	8	32768	18.88	62.47
reducedt_strided	float32	min	8	65536	36.78	64.14
reducedt_strided	float32	min	8	131072	73.34	64.33
reducedt_strided	float32	min	8	262144	152.31	61.96
reducedt_strided	float32	min	8	524288	313.19	60.26
reducedt_strided	float32	min	8	1048576	633.68	59.57
reducedt_strided	float32	min	8	2097152	1227.64	61.50
reducedt_strided	float32	min	8	4194304	2422.44	62.33
reducedt_strided	float32	min	8	8388608	2562.09	117.87
reducedt_strided	float32	min	8	16777216	5216.6	115.78
reducedt_strided	float32	min	8	33554432	11645.03	103.73
reducedt_strided	float32	min	8	67108864	27116.87	89.09
reducedt_strided	float32	max	2	1024	0.21	58.79
reducedt_strided	float32	max	2	2048	0.38	65.19
reducedt_strided	float32	max	2	4096	0.81	60.76
reducedt_strided	float32	max	2	8192	2.34	42.08
reducedt_strided	float32	max	2	16384	4.66	42.17
reducedt_strided	float32	max	2	32768	7.04	55.85
reducedt_strided	float32	max	2	65536	11.68	67.36
reducedt_strided	float32	max	2	131072	19.79	79.50
reducedt_strided	float32	max	2	262144	42.47	74.07
reducedt_strided	float32	max	2	524288	117.64	53.48
reducedt_strided	float32	max	2	1048576	293.69	42.84
reducedt_strided	float32	max	2	2097152	491.74	51.18
reducedt_strided	float32	max	2	4194304	965.17	52.15
reducedt_strided	float32	max	2	8388608	1883.28	53.45
reducedt_strided	float32	max	2	16777216	2496.45	80.65
reducedt_strided	float32	max	2	33554432	10163.74	39.62
reducedt_strided	float32	max	2	67108864	25934.44	31.05
reducedt_strided	float32	max	8	1024	0.52	71.58
reducedt_strided	float32	max	8	2048	1.59	46.40
reducedt_strided	float32	max	8	4096	3.54	41.61
reducedt_strided	float32	max	8	8192	6.08	48.55
reducedt_strided	float32	max	8	16384	9.57	61.66
reducedt_strided	float32	max	8	32768	18.46	63.92
reducedt_strided	float32	max	8	65536	36.99	63.77
reducedt_strided	float32	max	8	131072	73.17	64.48
reducedt_strided	float32	max	8	262144	149.93	62.94
reducedt_strided	float32	max	8	524288	310.71	60.75
reducedt_strided	float32	max	8	1048576	635.0	59.45
reducedt_strided	float32	max	8	2097152	1282.67	58.86
reducedt_strided	float32	max	8	4194304	1763.95	85.60
reducedt_strided	float32	max	8	8388608	2738.28	110.28
reducedt_strided	float32	max	8	16777216	5542.32	108.98
reducedt_strided	float32	max	8	33554432	11591.61	104.21
reducedt_strided	float32	max	8	67108864	26821.91	90.07
reducedt_strided	float64	sum	2	1024	0.36	68.65
reducedt_strided	float64	sum	2	2048	0.79	62.53
reducedt_strided	float64	sum	2	4096	2.41	40.74
reducedt_strided	float64	sum	2	8192	4.97	39.54
reducedt_strided	float64	sum	2	16384	7.95	49.49
reducedt_strided	float64	sum	2	32768	10.29	76.46
reducedt_strided	float64	sum	2	65536	20.48	76.80
reducedt_strided	float64	sum	2	131072	40.77	77.17
reducedt_strided	float64	sum	2	262144	127.83	49.22
reducedt_strided	float64	sum	2	524288	294.4	42.74
reducedt_strided	float64	sum	2	1048576	514.04	48.96
reducedt_strided	float64	sum	2	2097152	1030.21	48.86
reducedt_strided	float64	sum	2	4194304	1208.91	83.27
reducedt_strided	float64	sum	2	8388608	2454.05	82.04
reducedt_strided	float64	sum	2	16777216	10182.32	39.54
reducedt_strided	float64	sum	2	33554432	26005.8	30.97
reducedt_strided	float64	sum	2	67108864	56862.9	28.32
reducedt_strided	float64	sum	8	1024	1.71	43.19
reducedt_strided	float64	sum	8	2048	1.85	79.49
reducedt_strided	float64	sum	8	4096	7.23	40.79
reducedt_strided	float64	sum	8	8192	9.94	59.31
reducedt_strided	float64	sum	8	16384	19.38	60.87
reducedt_strided	float64	sum	8	32768	38.21	61.74
reducedt_strided	float64	sum	8	65536	76.14	61.97
reducedt_strided	float64	sum	8	131072	157.79	59.81
reducedt_strided	float64	sum	8	262144	326.77	57.76
reducedt_strided	float64	sum	8	524288	624.43	60.45
reducedt_strided	float64	sum	8	1048576	695.88	108.49
reducedt_strided	float64	sum	8	2097152	1308.24	115.42
reducedt_strided	float64	sum	8	4194304	2649.2	113.99
reducedt_strided	float64	sum	8	8388608	5389.45	112.07
reducedt_strided	float64	sum	8	16777216	11783.67	102.51
reducedt_strided	float64	sum	8	33554432	27040.47	89.34
reducedt_strided	float64	sum	8	67108864	57109.7	84.61
reducedt_strided	float64	prod	2	1024	0.38	64.50
reducedt_strided	float64	prod	2	2048	0.82	59.72
reducedt_strided	float64	prod	2	4096	1.81	54.43
reducedt_strided	float64	prod	2	8192	4.23	46.52
reducedt_strided	float64	prod	2	16384	7.18	54.79
reducedt_strided	float64	prod	2	32768	10.18	77.23
reducedt_strided	float64	prod	2	65536	20.71	75.95
reducedt_strided	float64	prod	2	131072	39.8	79.05
reducedt_strided	float64	prod	2	262144	109.14	57.64
reducedt_strided	float64	prod	2	524288	263.42	47.77
reducedt_strided	float64	prod	2	1048576	374.53	67.19
reducedt_strided	float64	prod	2	2097152	569.66	88.35
reducedt_strided	float64	prod	2	4194304	1131.44	88.97
reducedt_strided	float64	prod	2	8388608	2533.62	79.46
reducedt_strided	float64	prod	2	16777216	10293.77	39.12
reducedt_strided	float64	prod	2	33554432	25769.5	31.25
reducedt_strided	float64	prod	2	67108864	56452.03	28.53
reducedt_strided	float64	prod	8	1024	1.71	43.19
reducedt_strided	float64	prod	8	2048	3.58	41.21
reducedt_strided	float64	prod	8	4096	7.25	40.67
reducedt_strided	float64	prod	8	8192	9.5	62.06
reducedt_strided	float64	prod	8	16384	18.58	63.49
reducedt_strided	float64	prod	8	32768	36.41	64.79
reducedt_strided	float64	prod	8	65536	72.95	64.68
reducedt_strided	float64	prod	8	131072	151.49	62.30
reducedt_strided	float64	prod	8	262144	321.43	58.72
reducedt_strided	float64	prod	8	524288	630.46	59.87
reducedt_strided	float64	prod	8	1048576	1281.45	58.92
reducedt_strided	float64	prod	8	2097152	1681.98	89.77
reducedt_strided	float64	prod	8	4194304	2584.26	116.86
reducedt_strided	float64	prod	8	8388608	5221.37	115.67
reducedt_strided	float64	prod	8	16777216	11614.66	104.00
reducedt_strided	float64	prod	8	33554432	26969.17	89.58
reducedt_strided	float64	prod	8	67108864	57093.94	84.63
reducedt_strided	float64	min	2	1024	0.38	64.67
reducedt_strided	float64	min	2	2048	0.85	57.69
reducedt_strided	float64	min	2	4096	1.81	54.43
reducedt_strided	float64	min	2	8192	4.28	45.99
reducedt_strided	float64	min	2	16384	7.48	52.56
reducedt_strided	float64	min	2	32768	10.32	76.18
reducedt_strided	float64	min	2	65536	19.98	78.70
reducedt_strided	float64	min	2	131072	39.72	79.20
reducedt_strided	float64	min	2	262144	129.0	48.77
reducedt_strided	float64	min	2	524288	299.35	42.03
reducedt_strided	float64	min	2	1048576	495.85	50.75
reducedt_strided	float64	min	2	2097152	951.98	52.87
reducedt_strided	float64	min	2	4194304	1185.33	84.92
reducedt_strided	float64	min	2	8388608	2545.26	79.10
reducedt_strided	float64	min	2	16777216	10206.88	39.45
reducedt_strided	float64	min	2	33554432	26232.12	30.70
reducedt_strided	float64	min	2	67108864	57245.82	28.14
reducedt_strided	float64	min	8	1024	1.73	42.72
reducedt_strided	float64	min	8	2048	2.88	51.22
reducedt_strided	float64	min	8	4096	6.98	42.24
reducedt_strided	float64	min	8	8192	9.81	60.11
reducedt_strided	float64	min	8	16384	18.63	63.32
reducedt_strided	float64	min	8	32768	36.94	63.87
reducedt_strided	float64	min	8	65536	73.5	64.20
reducedt_strided	float64	min	8	131072	149.88	62.97
reducedt_strided	float64	min	8	262144	310.48	60.79
reducedt_strided	float64	min	8	524288	611.82	61.70
reducedt_strided	float64	min	8	1048576	1231.07	61.33
reducedt_strided	float64	min	8	2097152	1637.64	92.20
reducedt_strided	float64	min	8	4194304	2560.61	117.94
reducedt_strided	float64	min	8	8388608	5209.94	115.93
reducedt_strided	float64	min	8	16777216	11579.62	104.32
reducedt_strided	float64	min	8	33554432	27005.79	89.46
reducedt_strided	float64	min	8	67108864	57232.28	84.43
reducedt_strided	float64	max	2	1024	0.38	64.67
reducedt_strided	float64	max	2	2048	0.79	61.98
reducedt_strided	float64	max	2	4096	1.86	52.74
reducedt_strided	float64	max	2	8192	4.55	43.24
reducedt_strided	float64	max	2	16384	7.17	54.86
reducedt_strided	float64	max	2	32768	10.12	77.72
reducedt_strided	float64	max	2	65536	19.95	78.82
reducedt_strided	float64	max	2	131072	41.09	76.55
reducedt_strided	float64	max	2	262144	120.24	52.32
reducedt_strided	float64	max	2	524288	309.75	40.62
reducedt_strided	float64	max	2	1048576	509.74	49.37
reducedt_strided	float64	max	2	2097152	997.41	50.46
reducedt_strided	float64	max	2	4194304	1831.34	54.97
reducedt_strided	float64	max	2	8388608	2466.64	81.62
reducedt_strided	float64	max	2	16777216	9906.38	40.65
reducedt_strided	float64	max	2	33554432	26035.58	30.93
reducedt_strided	float64	max	2	67108864	56391.12	28.56
reducedt_strided	float64	max	8	1024	1.73	42.69
reducedt_strided	float64	max	8	2048	2.37	62.24
reducedt_strided	float64	max	8	4096	7.08	41.66
reducedt_strided	float64	max	8	8192	9.59	61.52
reducedt_strided	float64	max	8	16384	18.7	63.07
reducedt_strided	float64	max	8	32768	36.75	64.20
reducedt_strided	float64	max	8	65536	73.34	64.33
reducedt_strided	float64	max	8	131072	149.59	63.09
reducedt_strided	float64	max	8	262144	318.19	59.32
reducedt_strided	float64	max	8	524288	627.1	60.20
reducedt_strided	float64	max	8	1048576	1273.27	59.29
reducedt_strided	float64	max	8	2097152	2466.49	61.22
reducedt_strided	float64	max	8	4194304	2564.3	117.77
reducedt_strided	float64	max	8	8388608	5198.21	116.19
reducedt_strided	float64	max	8	16777216	11485.69	105.17
reducedt_strided	float64	max	8	33554432	27001.94	89.47
reducedt_strided	float64	max	8	67108864	57418.01	84.15
reducedt_strided	int32	sum	2	1024	0.31	39.90
reducedt_strided	int32	sum	2	2048	0.36	68.08
reducedt_strided	int32	sum	2	4096	1.08	45.64
reducedt_strided	int32	sum	2	8192	2.15	45.70
reducedt_strided	int32	sum	2	16384	4.45	44.21
reducedt_strided	int32	sum	2	32768	7.67	51.25
reducedt_strided	int32	sum	2	65536	9.89	79.52
reducedt_strided	int32	sum	2	131072	33.58	46.84
reducedt_strided	int32	sum	2	262144	41.0	76.73
reducedt_strided	int32	sum	2	524288	121.19	51.91
reducedt_strided	int32	sum	2	1048576	294.18	42.77
reducedt_strided	int32	sum	2	2097152	516.15	48.76
reducedt_strided	int32	sum	2	4194304	1034.87	48.64
reducedt_strided	int32	sum	2	8388608	2037.12	49.41
reducedt_strided	int32	sum	2	16777216	3111.61	64.70
reducedt_strided	int32	sum	2	33554432	9890.08	40.71
reducedt_strided	int32	sum	2	67108864	25880.39	31.12
reducedt_strided	int32	sum	8	1024	0.49	75.23
reducedt_strided	int32	sum	8	2048	1.59	46.40
reducedt_strided	int32	sum	8	4096	3.5	42.09
reducedt_strided	int32	sum	8	8192	6.13	48.14
reducedt_strided	int32	sum	8	16384	9.62	61.34
reducedt_strided	int32	sum	8	32768	18.45	63.94
reducedt_strided	int32	sum	8	65536	36.8	64.10
reducedt_strided	int32	sum	8	131072	73.53	64.17
reducedt_strided	int32	sum	8	262144	147.82	63.84
reducedt_strided	int32	sum	8	524288	298.74	63.18
reducedt_strided	int32	sum	8	1048576	383.94	98.32
reducedt_strided	int32	sum	8	2097152	635.83	118.74
reducedt_strided	int32	sum	8	4194304	1286.31	117.39
reducedt_strided	int32	sum	8	8388608	2564.41	117.76
reducedt_strided	int32	sum	8	16777216	5206.53	116.00
reducedt_strided	int32	sum	8	33554432	11635.68	103.82
reducedt_strided	int32	sum	8	67108864	27091.95	89.17
reducedt_strided	int32	prod	2	1024	0.23	52.29
reducedt_strided	int32	prod	2	2048	0.45	55.10
reducedt_strided	int32	prod	2	4096	0.87	56.24
reducedt_strided	int32	prod	2	8192	1.83	53.78
reducedt_strided	int32	prod	2	16384	3.76	52.32
reducedt_strided	int32	prod	2	32768	6.45	61.00
reducedt_strided	int32	prod	2	65536	12.01	65.48
reducedt_strided	int32	prod	2	131072	26.57	59.21
reducedt_strided	int32	prod	2	262144	51.94	60.56
reducedt_strided	int32	prod	2	524288	98.43	63.92
reducedt_strided	int32	prod	2	1048576	196.06	64.18
reducedt_strided	int32	prod	2	2097152	387.5	64.94
reducedt_strided	int32	prod	2	4194304	784.36	64.17
reducedt_strided	int32	prod	2	8388608	1566.96	64.24
reducedt_strided	int32	prod	2	16777216	3285.74	61.27
reducedt_strided	int32	prod	2	33554432	9949.25	40.47
reducedt_strided	int32	prod	2	67108864	25740.58	31.29
reducedt_strided	int32	prod	8	1024	2.75	13.41
reducedt_strided	int32	prod	8	2048	5.81	12.69
reducedt_strided	int32	prod	8	4096	11.03	13.37
reducedt_strided	int32	prod	8	8192	21.75	13.56
reducedt_strided	int32	prod	8	16384	44.59	13.23
reducedt_strided	int32	prod	8	32768	88.86	13.28
reducedt_strided	int32	prod	8	65536	177.87	13.26
reducedt_strided	int32	prod	8	131072	358.98	13.14
reducedt_strided	int32	prod	8	262144	420.23	22.46
reducedt_strided	int32	prod	8	524288	747.34	25.26
reducedt_strided	int32	prod	8	1048576	1494.01	25.27
reducedt_strided	int32	prod	8	2097152	2995.8	25.20
reducedt_strided	int32	prod	8	4194304	6004.85	25.15
reducedt_strided	int32	prod	8	8388608	11977.64	25.21
reducedt_strided	int32	prod	8	16777216	24036.14	25.13
reducedt_strided	int32	prod	8	33554432	47961.07	25.19
reducedt_strided	int32	prod	8	67108864	96032.04	25.16
reducedt_strided	int32	min	2	1024	0.52	23.77
reducedt_strided	int32	min	2	2048	0.84	29.36
reducedt_strided	int32	min	2	4096	1.61	30.55
reducedt_strided	int32	min	2	8192	2.54	38.63
reducedt_strided	int32	min	2	16384	6.08	32.32
reducedt_strided	int32	min	2	32768	9.19	42.79
reducedt_strided	int32	min	2	65536	18.6	42.28
reducedt_strided	int32	min	2	131072	33.13	47.47
reducedt_strided	int32	min	2	262144	72.34	43.49
reducedt_strided	int32	min	2	524288	166.63	37.76
reducedt_strided	int32	min	2	1048576	323.15	38.94
reducedt_strided	int32	min	2	2097152	579.72	43.41
reducedt_strided	int32	min	2	4194304	646.38	77.87
reducedt_strided	int32	min	2	8388608	1216.44	82.75
reducedt_strided	int32	min	2	16777216	2695.8	74.68
reducedt_strided	int32	min	2	33554432	9981.59	40.34
reducedt_strided	int32	min	2	67108864	25673.46	31.37
reducedt_strided	int32	min	8	1024	1.29	28.51
reducedt_strided	int32	min	8	2048	2.52	29.22
reducedt_strided	int32	min	8	4096	5.82	25.32
reducedt_strided	int32	min	8	8192	11.2	26.33
reducedt_strided	int32	min	8	16384	20.11	29.34
reducedt_strided	int32	min	8	32768	40.07	29.44
reducedt_strided	int32	min	8	65536	79.96	29.51
reducedt_strided	int32	min	8	131072	160.09	29.48
reducedt_strided	int32	min	8	262144	327.68	28.80
reducedt_strided	int32	min	8	524288	660.2	28.59
reducedt_strided	int32	min	8	1048576	1332.57	28.33
reducedt_strided	int32	min	8	2097152	1679.48	44.95
reducedt_strided	int32	min	8	4194304	2792.24	54.08
reducedt_strided	int32	min	8	8388608	5666.9	53.29
reducedt_strided	int32	min	8	16777216	11030.3	54.76
reducedt_strided	int32	min	8	33554432	22141.16	54.56
reducedt_strided	int32	min	8	67108864	44330.54	54.50
reducedt_strided	int32	max	2	1024	0.31	39.13
reducedt_strided	int32	max	2	2048	0.57	43.12
reducedt_strided	int32	max	2	4096	1.12	43.96
reducedt_strided	int32	max	2	8192	2.33	42.19
reducedt_strided	int32	max	2	16384	4.71	41.70
reducedt_strided	int32	max	2	32768	8.55	46.01
reducedt_strided	int32	max	2	65536	16.62	47.32
reducedt_strided	int32	max	2	131072	33.84	46.48
reducedt_strided	int32	max	2	262144	69.95	44.97
reducedt_strided	int32	max	2	524288	137.06	45.90
reducedt_strided	int32	max	2	1048576	300.5	41.87
reducedt_strided	int32	max	2	2097152	564.36	44.59
reducedt_strided	int32	max	2	4194304	1135.87	44.31
reducedt_strided	int32	max	2	8388608	2192.72	45.91
reducedt_strided	int32	max	2	16777216	2602.23	77.37
reducedt_strided	int32	max	2	33554432	9786.99	41.14
reducedt_strided	int32	max	2	67108864	25755.56	31.27
reducedt_strided	int32	max	8	1024	1.29	28.51
reducedt_strided	int32	max	8	2048	2.58	28.58
reducedt_strided	int32	max	8	4096	5.37	27.46
reducedt_strided	int32	max	8	8192	8.37	35.23
reducedt_strided	int32	max	8	16384	10.69	55.16
reducedt_strided	int32	max	8	32768	21.21	55.63
reducedt_strided	int32	max	8	65536	42.1	56.03
reducedt_strided	int32	max	8	131072	85.68	55.07
reducedt_strided	int32	max	8	262144	168.2	56.11
reducedt_strided	int32	max	8	524288	337.44	55.93
reducedt_strided	int32	max	8	1048576	679.72	55.54
reducedt_strided	int32	max	8	2097152	1347.23	56.04
reducedt_strided	int32	max	8	4194304	2694.79	56.03
reducedt_strided	int32	max	8	8388608	5427.56	55.64
reducedt_strided	int32	max	8	16777216	10908.07	55.37
reducedt_strided	int32	max	8	33554432	21736.2	55.57
reducedt_strided	int32	max	8	67108864	43607.77	55.40
reducedt_strided	int64	sum	2	1024	0.36	68.65
reducedt_strided	int64	sum	2	2048	0.86	57.09
reducedt_strided	int64	sum	2	4096	2.44	40.34
reducedt_strided	int64	sum	2	8192	4.3	45.73
reducedt_strided	int64	sum	2	16384	7.18	54.78
reducedt_strided	int64	sum	2	32768	11.63	67.63
reducedt_strided	int64	sum	2	65536	20.63	76.24
reducedt_strided	int64	sum	2	131072	50.88	61.82
reducedt_strided	int64	sum	2	262144	125.75	50.03
reducedt_strided	int64	sum	2	524288	308.94	40.73
reducedt_strided	int64	sum	2	1048576	495.2	50.82
reducedt_strided	int64	sum	2	2097152	971.66	51.80
reducedt_strided	int64	sum	2	4194304	1911.04	52.67
reducedt_strided	int64	sum	2	8388608	2732.95	73.67
reducedt_strided	int64	sum	2	16777216	9983.69	40.33
reducedt_strided	int64	sum	2	33554432	26004.58	30.97
reducedt_strided	int64	sum	2	67108864	56869.08	28.32
reducedt_strided	int64	sum	8	1024	0.76	97.27
reducedt_strided	int64	sum	8	2048	1.62	90.74
reducedt_strided	int64	sum	8	4096	3.26	90.52
reducedt_strided	int64	sum	8	8192	5.08	116.04
reducedt_strided	int64	sum	8	16384	9.73	121.18
reducedt_strided	int64	sum	8	32768	19.57	120.55
reducedt_strided	int64	sum	8	65536	38.79	121.64
reducedt_strided	int64	sum	8	131072	78.2	120.67
reducedt_strided	int64	sum	8	262144	159.15	118.60
reducedt_strided	int64	sum	8	524288	320.24	117.88
reducedt_strided	int64	sum	8	1048576	635.84	118.74
reducedt_strided	int64	sum	8	2097152	1274.31	118.49
reducedt_strided	int64	sum	8	4194304	2596.14	116.32
reducedt_strided	int64	sum	8	8388608	5159.12	117.07
reducedt_strided	int64	sum	8	16777216	11552.52	104.56
reducedt_strided	int64	sum	8	33554432	26990.99	89.51
reducedt_strided	int64	sum	8	67108864	57305.69	84.32
reducedt_strided	int64	prod	2	1024	0.61	40.09
reducedt_strided	int64	prod	2	2048	1.44	34.06
reducedt_strided	int64	prod	2	4096	3.74	26.31
reducedt_strided	int64	prod	2	8192	8.09	24.29
reducedt_strided	int64	prod	2	16384	14.51	27.10
reducedt_strided	int64	prod	2	32768	18.21	43.20
reducedt_strided	int64	prod	2	65536	36.86	42.67
reducedt_strided	int64	prod	2	131072	73.33	42.90
reducedt_strided	int64	prod	2	262144	155.14	40.55
reducedt_strided	int64	prod	2	524288	327.08	38.47
reducedt_strided	int64	prod	2	1048576	620.58	40.55
reducedt_strided	int64	prod	2	2097152	1268.02	39.69
reducedt_strided	int64	prod	2	4194304	2507.41	40.15
reducedt_strided	int64	prod	2	8388608	3473.22	57.97
reducedt_strided	int64	prod	2	16777216	10539.7	38.20
reducedt_strided	int64	prod	2	33554432	26568.29	30.31
reducedt_strided	int64	prod	2	67108864	57713.83	27.91
reducedt_strided	int64	prod	8	1024	1.92	38.36
reducedt_strided	int64	prod	8	2048	3.81	38.74
reducedt_strided	int64	prod	8	4096	7.59	38.84
reducedt_strided	int64	prod	8	8192	15.35	38.43
reducedt_strided	int64	prod	8	16384	30.32	38.91
reducedt_strided	int64	prod	8	32768	60.54	38.97
reducedt_strided	int64	prod	8	65536	121.01	38.99
reducedt_strided	int64	prod	8	131072	242.01	38.99
reducedt_strided	int64	prod	8	262144	487.4	38.72
reducedt_strided	int64	prod	8	524288	976.2	38.67
reducedt_strided	int64	prod	8	1048576	1946.74	38.78
reducedt_strided	int64	prod	8	2097152	3882.07	38.90
reducedt_strided	int64	prod	8	4194304	7823.03	38.60
reducedt_strided	int64	prod	8	8388608	15633.01	38.63
reducedt_strided	int64	prod	8	16777216	31317.35	38.57
reducedt_strided	int64	prod	8	33554432	62628.25	38.58
reducedt_strided	int64	prod	8	67108864	124926.02	38.68
reducedt_strided	int64	min	2	1024	0.39	63.02
reducedt_strided	int64	min	2	2048	0.81	60.91
reducedt_strided	int64	min	2	4096	1.69	58.27
reducedt_strided	int64	min	2	8192	3.59	54.81
reducedt_strided	int64	min	2	16384	6.51	60.39
reducedt_strided	int64	min	2	32768	12.21	64.44
reducedt_strided	int64	min	2	65536	24.62	63.89
reducedt_strided	int64	min	2	131072	47.85	65.73
reducedt_strided	int64	min	2	262144	101.74	61.84
reducedt_strided	int64	min	2	524288	198.79	63.30
reducedt_strided	int64	min	2	1048576	398.58	63.14
reducedt_strided	int64	min	2	2097152	803.05	62.68
reducedt_strided	int64	min	2	4194304	1632.53	61.66
reducedt_strided	int64	min	2	8388608	3381.7	59.53
reducedt_strided	int64	min	2	16777216	10720.03	37.56
reducedt_strided	int64	min	2	33554432	26713.76	30.15
reducedt_strided	int64	min	2	67108864	57639.11	27.94
reducedt_strided	int64	min	8	1024	2.74	26.87
reducedt_strided	int64	min	8	2048	5.3	27.83
reducedt_strided	int64	min	8	4096	11.49	25.67
reducedt_strided	int64	min	8	8192	19.78	29.83
reducedt_strided	int64	min	8	16384	39.18	30.11
reducedt_strided	int64	min	8	32768	78.4	30.09
reducedt_strided	int64	min	8	65536	156.43	30.16
reducedt_strided	int64	min	8	131072	343.42	27.48
reducedt_strided	int64	min	8	262144	692.98	27.24
reducedt_strided	int64	min	8	524288	1363.08	27.69
reducedt_strided	int64	min	8	1048576	1453.86	51.93
reducedt_strided	int64	min	8	2097152	2852.4	52.94
reducedt_strided	int64	min	8	4194304	5753.64	52.49
reducedt_strided	int64	min	8	8388608	11506.5	52.49
reducedt_strided	int64	min	8	16777216	23150.69	52.18
reducedt_strided	int64	min	8	33554432	46314.89	52.16
reducedt_strided	int64	min	8	67108864	92268.15	52.37
reducedt_strided	int64	max	2	1024	0.75	32.86
reducedt_strided	int64	max	2	2048	1.72	28.66
reducedt_strided	int64	max	2	4096	3.71	26.49
reducedt_strided	int64	max	2	8192	8.14	24.17
reducedt_strided	int64	max	2	16384	14.76	26.64
reducedt_strided	int64	max	2	32768	22.29	35.28
reducedt_strided	int64	max	2	65536	44.48	35.36
reducedt_strided	int64	max	2	131072	88.2	35.66
reducedt_strided	int64	max	2	262144	179.87	34.98
reducedt_strided	int64	max	2	524288	378.19	33.27
reducedt_strided	int64	max	2	1048576	750.12	33.55
reducedt_strided	int64	max	2	2097152	1518.05	33.16
reducedt_strided	int64	max	2	4194304	2663.51	37.79
reducedt_strided	int64	max	2	8388608	3445.63	58.43
reducedt_strided	int64	max	2	16777216	10638.49	37.85
reducedt_strided	int64	max	2	33554432	27246.1	29.56
reducedt_strided	int64	max	2	67108864	58630.79	27.47
reducedt_strided	int64	max	8	1024	2.91	25.34
reducedt_strided	int64	max	8	2048	5.11	28.87
reducedt_strided	int64	max	8	4096	11.47	25.70
reducedt_strided	int64	max	8	8192	20.18	29.23
reducedt_strided	int64	max	8	16384	39.88	29.58
reducedt_strided	int64	max	8	32768	81.44	28.97
reducedt_strided	int64	max	8	65536	156.01	30.25
reducedt_strided	int64	max	8	131072	340.88	27.68
reducedt_strided	int64	max	8	262144	696.53	27.10
reducedt_strided	int64	max	8	524288	1394.88	27.06
reducedt_strided	int64	max	8	1048576	1456.93	51.82
