op_type	dt	op	n_bufs	count	time_us	gb_s
reducedt	float32	max	2	4194304	965.13	52.15
reducedt	float32	max	2	8388608	1505.19	66.88
reducedt	float32	max	2	16777216	2434.31	82.70
reducedt	float32	max	2	33554432	10144.34	39.69
reducedt	float32	max	2	67108864	26295.4	30.63
reducedt	float32	max	8	1024	0.5	73.88
reducedt	float32	max	8	2048	1.72	42.79
reducedt	float32	max	8	4096	3.17	46.52
reducedt	float32	max	8	8192	6.95	42.46
reducedt	float32	max	8	16384	9.74	60.54
reducedt	float32	max	8	32768	18.85	62.57
reducedt	float32	max	8	65536	36.77	64.15
reducedt	float32	max	8	131072	73.79	63.95
reducedt	float32	max	8	262144	149.48	63.13
reducedt	float32	max	8	524288	318.44	59.27
reducedt	float32	max	8	1048576	629.01	60.01
reducedt	float32	max	8	2097152	1279.87	58.99
reducedt	float32	max	8	4194304	2536.02	59.54
reducedt	float32	max	8	8388608	2557.85	118.06
reducedt	float32	max	8	16777216	5205.43	116.03
reducedt	float32	max	8	33554432	11652.16	103.67
reducedt	float32	max	8	67108864	27092.76	89.17
reducedt	float64	sum	2	1024	0.19	130.72
reducedt	float64	sum	2	2048	0.42	117.03
reducedt	float64	sum	2	4096	1.18	83.31
reducedt	float64	sum	2	8192	2.46	79.82
reducedt	float64	sum	2	16384	4.13	95.30
reducedt	float64	sum	2	32768	5.59	140.69
reducedt	float64	sum	2	65536	10.8	145.64
reducedt	float64	sum	2	131072	23.01	136.71
reducedt	float64	sum	2	262144	55.54	113.28
reducedt	float64	sum	2	524288	140.3	89.69
reducedt	float64	sum	2	1048576	282.31	89.14
reducedt	float64	sum	2	2097152	562.87	89.42
reducedt	float64	sum	2	4194304	1137.43	88.50
reducedt	float64	sum	2	8388608	2628.22	76.60
reducedt	float64	sum	2	16777216	10122.5	39.78
reducedt	float64	sum	2	33554432	26175.56	30.77
reducedt	float64	sum	2	67108864	57310.5	28.10
reducedt	float64	sum	8	1024	1.69	43.63
reducedt	float64	sum	8	2048	1.86	79.45
reducedt	float64	sum	8	4096	6.76	43.60
reducedt	float64	sum	8	8192	9.66	61.08
reducedt	float64	sum	8	16384	19.17	61.54
reducedt	float64	sum	8	32768	21.5	109.73
reducedt	float64	sum	8	65536	40.02	117.91
reducedt	float64	sum	8	131072	80.27	117.57
reducedt	float64	sum	8	262144	163.37	115.53
reducedt	float64	sum	8	524288	327.18	115.38
reducedt	float64	sum	8	1048576	653.57	115.52
reducedt	float64	sum	8	2097152	1312.73	115.02
reducedt	float64	sum	8	4194304	2668.29	113.18
reducedt	float64	sum	8	8388608	5378.83	112.29
reducedt	float64	sum	8	16777216	11735.11	102.94
reducedt	float64	sum	8	33554432	27825.6	86.82
reducedt	float64	sum	8	67108864	57311.59	84.31
reducedt	float64	prod	2	1024	0.38	65.36
reducedt	float64	prod	2	2048	0.86	57.15
reducedt	float64	prod	2	4096	1.41	69.97
reducedt	float64	prod	2	8192	4.27	46.08
reducedt	float64	prod	2	16384	5.75	68.44
reducedt	float64	prod	2	32768	5.28	148.97
reducedt	float64	prod	2	65536	10.59	148.59
reducedt	float64	prod	2	131072	20.77	151.49
reducedt	float64	prod	2	262144	89.99	69.91
reducedt	float64	prod	2	524288	241.19	52.17
reducedt	float64	prod	2	1048576	358.0	70.30
reducedt	float64	prod	2	2097152	564.07	89.23
reducedt	float64	prod	2	4194304	1132.17	88.91
reducedt	float64	prod	2	8388608	2497.18	80.62
reducedt	float64	prod	2	16777216	10062.65	40.01
reducedt	float64	prod	2	33554432	26073.62	30.89
reducedt	float64	prod	2	67108864	56961.07	28.28
reducedt	float64	prod	8	1024	1.69	43.52
reducedt	float64	prod	8	2048	2.1	70.25
reducedt	float64	prod	8	4096	7.33	40.25
reducedt	float64	prod	8	8192	9.62	61.29
reducedt	float64	prod	8	16384	18.68	63.16
reducedt	float64	prod	8	32768	36.79	64.13
reducedt	float64	prod	8	65536	73.19	64.47
reducedt	float64	prod	8	131072	149.18	63.26
reducedt	float64	prod	8	262144	300.95	62.72
reducedt	float64	prod	8	524288	610.24	61.86
reducedt	float64	prod	8	1048576	1214.93	62.14
reducedt	float64	prod	8	2097152	2458.32	61.42
reducedt	float64	prod	8	4194304	2762.69	109.31
reducedt	float64	prod	8	8388608	5226.82	115.55
reducedt	float64	prod	8	16777216	11654.93	103.64
reducedt	float64	prod	8	33554432	27031.49	89.37
reducedt	float64	prod	8	67108864	57352.32	84.25
reducedt	float64	min	2	1024	0.38	65.36
reducedt	float64	min	2	2048	0.81	60.83
reducedt	float64	min	2	4096	1.8	54.64
reducedt	float64	min	2	8192	4.28	45.96
reducedt	float64	min	2	16384	7.45	52.82
reducedt	float64	min	2	32768	10.18	77.25
reducedt	float64	min	2	65536	19.81	79.40
reducedt	float64	min	2	131072	41.16	76.44
reducedt	float64	min	2	262144	124.22	50.65
reducedt	float64	min	2	524288	307.95	40.86
reducedt	float64	min	2	1048576	501.31	50.20
reducedt	float64	min	2	2097152	960.84	52.38
reducedt	float64	min	2	4194304	1983.73	50.74
reducedt	float64	min	2	8388608	3009.02	66.91
reducedt	float64	min	2	16777216	9944.75	40.49
reducedt	float64	min	2	33554432	25865.45	31.13
reducedt	float64	min	2	67108864	56531.72	28.49
reducedt	float64	min	8	1024	1.74	42.49
reducedt	float64	min	8	2048	2.22	66.54
reducedt	float64	min	8	4096	7.16	41.18
reducedt	float64	min	8	8192	9.46	62.38
reducedt	float64	min	8	16384	18.61	63.37
reducedt	float64	min	8	32768	36.73	64.24
reducedt	float64	min	8	65536	73.78	63.95
reducedt	float64	min	8	131072	154.09	61.24
reducedt	float64	min	8	262144	315.13	59.89
reducedt	float64	min	8	524288	628.8	60.03
reducedt	float64	min	8	1048576	1250.36	60.38
reducedt	float64	min	8	2097152	1569.66	96.20
reducedt	float64	min	8	4194304	2733.16	110.49
reducedt	float64	min	8	8388608	5237.23	115.32
reducedt	float64	min	8	16777216	11571.83	104.39
reducedt	float64	min	8	33554432	26870.26	89.91
reducedt	float64	min	8	67108864	56953.93	84.84
reducedt	float64	max	2	1024	0.38	65.54
reducedt	float64	max	2	2048	0.81	60.76
reducedt	float64	max	2	4096	2.11	46.68
reducedt	float64	max	2	8192	4.98	39.48
reducedt	float64	max	2	16384	8.19	48.03
reducedt	float64	max	2	32768	10.44	75.34
reducedt	float64	max	2	65536	22.0	71.48
reducedt	float64	max	2	131072	41.28	76.20
reducedt	float64	max	2	262144	132.07	47.64
reducedt	float64	max	2	524288	316.6	39.74
reducedt	float64	max	2	1048576	499.23	50.41
reducedt	float64	max	2	2097152	931.57	54.03
reducedt	float64	max	2	4194304	1956.19	51.46
reducedt	float64	max	2	8388608	3238.96	62.16
reducedt	float64	max	2	16777216	10059.0	40.03
reducedt	float64	max	2	33554432	25992.76	30.98
reducedt	float64	max	2	67108864	56888.54	28.31
reducedt	float64	max	8	1024	1.73	42.64
reducedt	float64	max	8	2048	1.98	74.32
reducedt	float64	max	8	4096	6.99	42.22
reducedt	float64	max	8	8192	9.46	62.34
reducedt	float64	max	8	16384	18.55	63.58
reducedt	float64	max	8	32768	36.78	64.15
reducedt	float64	max	8	65536	73.33	64.34
reducedt	float64	max	8	131072	151.93	62.12
reducedt	float64	max	8	262144	313.04	60.29
reducedt	float64	max	8	524288	626.2	60.28
reducedt	float64	max	8	1048576	1272.64	59.32
reducedt	float64	max	8	2097152	1677.89	89.99
reducedt	float64	max	8	4194304	2646.07	114.13
reducedt	float64	max	8	8388608	5197.59	116.20
reducedt	float64	max	8	16777216	11560.52	104.49
reducedt	float64	max	8	33554432	26868.81	89.92
reducedt	float64	max	8	67108864	57052.14	84.69
reducedt	int32	sum	2	1024	0.32	38.28
reducedt	int32	sum	2	2048	0.37	66.96
reducedt	int32	sum	2	4096	1.11	44.28
reducedt	int32	sum	2	8192	2.33	42.15
reducedt	int32	sum	2	16384	4.71	41.76
reducedt	int32	sum	2	32768	8.12	48.45
reducedt	int32	sum	2	65536	11.37	69.17
reducedt	int32	sum	2	131072	25.14	62.55
reducedt	int32	sum	2	262144	58.9	53.41
reducedt	int32	sum	2	524288	121.31	51.86
reducedt	int32	sum	2	1048576	311.51	40.39
reducedt	int32	sum	2	2097152	504.5	49.88
reducedt	int32	sum	2	4194304	999.6	50.35
reducedt	int32	sum	2	8388608	1442.5	69.78
reducedt	int32	sum	2	16777216	2529.72	79.58
reducedt	int32	sum	2	33554432	10104.0	39.85
reducedt	int32	sum	2	67108864	25837.72	31.17
reducedt	int32	sum	8	1024	0.47	77.61
reducedt	int32	sum	8	2048	1.59	46.31
reducedt	int32	sum	8	4096	3.81	38.68
reducedt	int32	sum	8	8192	6.17	47.82
reducedt	int32	sum	8	16384	9.51	62.04
reducedt	int32	sum	8	32768	18.64	63.30
reducedt	int32	sum	8	65536	36.69	64.30
reducedt	int32	sum	8	131072	73.42	64.26
reducedt	int32	sum	8	262144	148.85	63.40
reducedt	int32	sum	8	524288	300.87	62.73
reducedt	int32	sum	8	1048576	606.63	62.23
reducedt	int32	sum	8	2097152	1230.67	61.35
reducedt	int32	sum	8	4194304	2205.39	68.47
reducedt	int32	sum	8	8388608	2566.11	117.68
reducedt	int32	sum	8	16777216	5206.81	116.00
reducedt	int32	sum	8	33554432	11605.85	104.08
reducedt	int32	sum	8	67108864	27036.49	89.36
